unit_id,region,store_id,period,treated,store_size,baseline_traffic,revenue,intervention
S01,South,1,pre,0,108,425,152.84,none
S01,South,1,post,1,108,425,206.12,promo_campaign
S02,South,2,pre,0,219,489,251.22,none
S02,South,2,post,1,219,489,298.69,promo_campaign
S03,South,3,pre,0,103,623,172.83,none
S03,South,3,post,1,103,623,202.91,promo_campaign
S04,South,4,pre,0,219,829,263.36,none
S04,South,4,post,1,219,829,316.75,promo_campaign
S05,South,5,pre,0,81,1177,169.18,none
S05,South,5,post,1,81,1177,223.03,promo_campaign
S06,South,6,pre,0,166,504,214.18,none
S06,South,6,post,1,166,504,260.41,promo_campaign
S07,South,7,pre,0,168,1018,236.86,none
S07,South,7,post,1,168,1018,279.08,promo_campaign
S08,South,8,pre,0,176,480,205.16,none
S08,South,8,post,1,176,480,259.22,promo_campaign
N01,North,1,pre,0,172,991,240.36,none
N01,North,1,post,0,172,991,244.76,none
N02,North,2,pre,0,100,638,154.13,none
N02,North,2,post,0,100,638,157.84,none
N03,North,3,pre,0,196,1050,258.62,none
N03,North,3,post,0,196,1050,268.21,none
N04,North,4,pre,0,98,1023,184.05,none
N04,North,4,post,0,98,1023,195.39,none
N05,North,5,pre,0,142,567,186.9,none
N05,North,5,post,0,142,567,205.95,none
N06,North,6,pre,0,136,1101,203.72,none
N06,North,6,post,0,136,1101,229.5,none
N07,North,7,pre,0,94,634,153.44,none
N07,North,7,post,0,94,634,173.4,none
N08,North,8,pre,0,160,617,207.2,none
N08,North,8,post,0,160,617,217.58,none
E01,East,1,pre,0,197,546,238.83,none
E01,East,1,post,0,197,546,242.0,none
E02,East,2,pre,0,189,997,245.29,none
E02,East,2,post,0,189,997,263.2,none
E03,East,3,pre,0,115,921,175.04,none
E03,East,3,post,0,115,921,188.85,none
E04,East,4,pre,0,120,1096,195.35,none
E04,East,4,post,0,120,1096,210.29,none
E05,East,5,pre,0,177,1010,251.74,none
E05,East,5,post,0,177,1010,275.63,none
E06,East,6,pre,0,82,1096,165.87,none
E06,East,6,post,0,82,1096,170.6,none
E07,East,7,pre,0,217,1168,289.33,none
E07,East,7,post,0,217,1168,297.69,none
E08,East,8,pre,0,196,403,244.2,none
E08,East,8,post,0,196,403,240.95,none
W01,West,1,pre,0,147,912,206.79,none
W01,West,1,post,0,147,912,232.51,none
W02,West,2,pre,0,209,1023,277.13,none
W02,West,2,post,0,209,1023,292.81,none
W03,West,3,pre,0,121,952,207.82,none
W03,West,3,post,0,121,952,230.79,none
W04,West,4,pre,0,205,419,234.0,none
W04,West,4,post,0,205,419,245.33,none
W05,West,5,pre,0,158,645,228.37,none
W05,West,5,post,0,158,645,238.38,none
W06,West,6,pre,0,204,470,242.92,none
W06,West,6,post,0,204,470,246.57,none
W07,West,7,pre,0,112,531,143.48,none
W07,West,7,post,0,112,531,171.48,none
W08,West,8,pre,0,188,616,248.72,none
W08,West,8,post,0,188,616,247.29,none
C01,Central,1,pre,0,131,1130,219.56,none
C01,Central,1,post,0,131,1130,209.63,none
C02,Central,2,pre,0,212,862,258.86,none
C02,Central,2,post,0,212,862,270.7,none
C03,Central,3,pre,0,166,421,196.65,none
C03,Central,3,post,0,166,421,211.36,none
C04,Central,4,pre,0,95,634,162.1,none
C04,Central,4,post,0,95,634,173.34,none
C05,Central,5,pre,0,164,472,197.93,none
C05,Central,5,post,0,164,472,202.92,none
C06,Central,6,pre,0,201,648,246.46,none
C06,Central,6,post,0,201,648,245.48,none
C07,Central,7,pre,0,128,496,187.81,none
C07,Central,7,post,0,128,496,190.2,none
C08,Central,8,pre,0,93,1089,178.07,none
C08,Central,8,post,0,93,1089,187.89,none
