agent_id,group,period,treated,tenure_months,ticket_load,resolution_hours,intervention
A01,coached,pre,0,23,80,11.81,none
A01,coached,post,1,23,80,10.97,sla_coaching
A02,coached,pre,0,26,57,10.66,none
A02,coached,post,1,26,57,8.95,sla_coaching
A03,coached,pre,0,5,25,8.49,none
A03,coached,post,1,5,25,8.76,sla_coaching
A04,coached,pre,0,39,27,9.57,none
A04,coached,post,1,39,27,6.31,sla_coaching
A05,coached,pre,0,40,80,10.49,none
A05,coached,post,1,40,80,9.97,sla_coaching
A06,coached,pre,0,38,74,9.85,none
A06,coached,post,1,38,74,9.21,sla_coaching
A07,coached,pre,0,37,27,5.63,none
A07,coached,post,1,37,27,5.38,sla_coaching
A08,coached,pre,0,39,60,8.14,none
A08,coached,post,1,39,60,7.74,sla_coaching
A09,coached,pre,0,48,24,5.01,none
A09,coached,post,1,48,24,3.3,sla_coaching
A10,coached,pre,0,23,49,7.25,none
A10,coached,post,1,23,49,7.03,sla_coaching
A11,coached,pre,0,22,35,6.43,none
A11,coached,post,1,22,35,7.83,sla_coaching
A12,coached,pre,0,36,51,10.74,none
A12,coached,post,1,36,51,6.79,sla_coaching
A13,control,pre,0,21,58,9.21,none
A13,control,post,0,21,58,6.95,none
A14,control,pre,0,12,79,10.16,none
A14,control,post,0,12,79,10.28,none
A15,control,pre,0,45,24,5.2,none
A15,control,post,0,45,24,7.58,none
A16,control,pre,0,47,42,5.36,none
A16,control,post,0,47,42,5.56,none
A17,control,pre,0,32,24,5.63,none
A17,control,post,0,32,24,6.13,none
A18,control,pre,0,6,66,9.33,none
A18,control,post,0,6,66,7.7,none
A19,control,pre,0,46,72,7.87,none
A19,control,post,0,46,72,7.8,none
A20,control,pre,0,32,42,7.84,none
A20,control,post,0,32,42,7.81,none
A21,control,pre,0,6,33,8.07,none
A21,control,post,0,6,33,8.52,none
A22,control,pre,0,34,25,8.9,none
A22,control,post,0,34,25,9.11,none
A23,control,pre,0,20,76,11.16,none
A23,control,post,0,20,76,7.65,none
A24,control,pre,0,25,63,11.13,none
A24,control,post,0,25,63,5.86,none
